Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7,Reward
1,3.91,1.56,93.75,107.89,18.42,0.9503819266229829,1.11,-56.00000000000001
2,2.6,1.56,95.31,94.74,26.32,1.4725377234348787,1.29,-58.13333333333333
3,6.77,3.12,87.5,57.89,39.47,1.6872702532115003,1.32,-48.6
4,2.86,1.56,95.31,36.84,63.16,2.015247997095126,0.92,-57.766666666666666
5,1.56,1.56,98.44,36.84,63.16,1.6413036132965795,0.82,-61.4
6,1.56,1.56,98.44,26.32,68.42,1.1873172373979173,0.71,-61.4
7,1.56,1.56,98.44,13.16,71.05,0.8907235428302465,0.82,-61.2
8,0.0,0.0,100.0,10.53,73.68,1.2206555615733703,0.74,-64
9,0.52,0.0,98.44,5.26,76.32,1.640535895581489,0.87,-62.16666666666667
10,0.0,0.0,100.0,7.89,81.58,1.0301575072754257,0.68,-64
11,0.0,0.0,100.0,13.16,73.68,0.7000000000000001,0.87,-64
12,1.3,0.0,96.88,2.63,84.21,0.8975274678557508,0.61,-60.36666666666667
13,0.0,0.0,100.0,2.63,81.58,1.7261494247992246,0.66,-64
14,0.0,0.0,100.0,10.53,76.32,1.247219128924647,0.89,-64
15,0.0,0.0,100.0,2.63,86.84,0.7483314773547882,0.53,-64
16,0.0,0.0,100.0,2.63,86.84,1.32664991614216,0.55,-64
17,1.56,0.0,96.88,5.26,89.47,0.82915619758885,0.39,-60.2
18,0.0,0.0,100.0,2.63,94.74,0.5,0.18,-64
19,1.56,1.56,98.44,2.63,89.47,1.5,0.5,-61.08
20,0.0,0.0,100.0,0.0,89.47,1.479019945774904,0.47,-64
21,0.0,0.0,100.0,2.63,92.11,0.9428090415820634,0.34,-64
22,0.0,0.0,100.0,0.0,92.11,0.4714045207910317,0.34,-64
23,0.0,0.0,100.0,0.0,86.84,1.0954451150103321,0.61,-64
24,0.0,0.0,100.0,0.0,92.11,0.816496580927726,0.39,-64
25,0.0,0.0,100.0,0.0,94.74,0.0,0.26,-64
26,0.0,0.0,100.0,5.26,89.47,0.4330127018922193,0.61,-64
27,0.0,0.0,100.0,2.63,86.84,1.0198039027185568,0.55,-64
28,0.0,0.0,100.0,0.0,89.47,0.82915619758885,0.5,-64
29,0.78,0.0,98.44,0.0,89.47,2.0615528128088303,0.47,-62.2
30,0.0,0.0,100.0,2.63,92.11,1.4142135623730951,0.39,-64
31,0.0,0.0,100.0,0.0,97.37,0.0,0.11,-64
32,0.0,0.0,100.0,0.0,92.11,0.4714045207910317,0.42,-64
33,0.0,0.0,100.0,2.63,89.47,0.82915619758885,0.53,-64
34,0.0,0.0,100.0,0.0,92.11,0.9428090415820634,0.37,-64
35,0.78,0.0,98.44,2.63,92.11,1.247219128924647,0.39,-61.9
36,0.0,0.0,100.0,5.26,86.84,1.4966629547095764,0.71,-64
37,0.0,0.0,100.0,5.26,89.47,1.299038105676658,0.53,-64
38,0.0,0.0,100.0,0.0,89.47,0.7071067811865476,0.61,-64
39,0.0,0.0,100.0,0.0,86.84,1.2649110640673518,0.68,-64
40,1.56,1.56,98.44,2.63,94.74,1.5,0.26,-61.2
41,1.56,1.56,98.44,0.0,89.47,2.277608394786075,0.53,-61.4
42,0.0,0.0,100.0,0.0,92.11,1.247219128924647,0.45,-64
43,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
44,1.56,1.56,98.44,0.0,92.11,1.699673171197595,0.45,-61.2
45,1.56,1.56,98.44,0.0,92.11,0.816496580927726,0.42,-61.4
46,0.0,0.0,100.0,0.0,89.47,0.4330127018922193,0.58,-64
47,0.0,0.0,100.0,7.89,92.11,0.4714045207910317,0.47,-64
48,0.0,0.0,100.0,2.63,92.11,0.816496580927726,0.45,-64
49,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
50,0.0,0.0,100.0,0.0,92.11,0.9428090415820634,0.47,-64
51,0.0,0.0,100.0,2.63,89.47,0.82915619758885,0.63,-64
52,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
53,0.0,0.0,100.0,2.63,92.11,0.4714045207910317,0.47,-64
54,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
55,0.0,0.0,100.0,0.0,92.11,1.247219128924647,0.47,-64
56,0.0,0.0,100.0,2.63,94.74,0.5,0.32,-64
57,0.78,0.0,98.44,0.0,94.74,0.5,0.32,-62.2
58,0.0,0.0,100.0,0.0,94.74,0.5,0.32,-64
59,0.0,0.0,100.0,2.63,92.11,2.160246899469287,0.39,-64
60,0.0,0.0,100.0,2.63,92.11,0.4714045207910317,0.47,-64
61,0.0,0.0,100.0,2.63,94.74,1.0,0.32,-64
62,0.52,0.0,98.44,2.63,92.11,2.160246899469287,0.39,-62.266666666666666
63,0.0,0.0,100.0,5.26,94.74,0.5,0.29,-64
64,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
65,1.56,1.56,98.44,7.89,92.11,0.816496580927726,0.45,-61.2
66,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
67,0.0,0.0,100.0,2.63,94.74,1.0,0.29,-64
68,0.0,0.0,100.0,0.0,89.47,0.82915619758885,0.58,-64
69,0.0,0.0,100.0,5.26,94.74,0.5,0.32,-64
70,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
71,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
72,0.0,0.0,100.0,5.26,94.74,0.5,0.32,-64
73,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
74,0.0,0.0,100.0,2.63,94.74,2.5,0.26,-64
75,0.0,0.0,100.0,5.26,94.74,0.0,0.32,-64
76,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
77,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
78,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
79,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
80,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
81,0.0,0.0,100.0,0.0,94.74,1.0,0.29,-64
82,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
