Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,56,3,1.7142857142857142,0.078125,0.21295885499997994,3.0476190476190474
3,18,53,4,1.75,0.10416666666666666,0.39999999999999997,3.2
4,18,58,3,1.75,0.06770833333333333,0.39999999999999997,3.2
5,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
6,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
7,17,56,4,1.7142857142857142,0.0859375,0.21295885499997994,3.0476190476190474
8,17,60,2,1.7142857142857142,0.046875,0.21295885499997994,3.0476190476190474
9,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
10,18,60,0,1.75,0.028645833333333332,0.39999999999999997,3.2
11,18,61,0,1.75,0.0234375,0.39999999999999997,3.2
12,19,58,1,1.7894736842105263,0.04427083333333333,0.4823763889427201,3.3684210526315788
13,17,62,1,1.7142857142857142,0.0234375,0.21295885499997994,3.0476190476190474
14,18,59,2,1.75,0.0546875,0.39999999999999997,3.2
15,19,57,4,1.7894736842105263,0.0859375,0.4823763889427201,3.3684210526315788
16,19,56,1,1.7894736842105263,0.06510416666666666,0.4823763889427201,3.3684210526315788
17,18,54,3,1.75,0.09114583333333331,0.39999999999999997,3.2
18,19,61,0,1.7894736842105263,0.020833333333333332,0.48237638894272,3.3684210526315788
19,17,59,3,1.619047619047619,0.0625,0.21295885499997994,3.0476190476190474
20,18,58,2,1.75,0.05729166666666667,0.39999999999999997,3.2
21,19,60,0,1.7894736842105263,0.026041666666666664,0.4823763889427201,3.3684210526315788
22,17,55,3,1.7142857142857142,0.08333333333333331,0.21295885499997994,3.0476190476190474
23,17,54,4,1.7142857142857142,0.1015625,0.21295885499997994,3.0476190476190474
24,18,62,1,1.75,0.020833333333333332,0.39999999999999997,3.2
25,18,62,1,1.75,0.020833333333333332,0.39999999999999997,3.2
26,17,59,2,1.7142857142857142,0.049479166666666664,0.21295885499997994,3.0476190476190474
27,18,62,2,1.75,0.03125,0.39999999999999997,3.2
28,18,63,0,1.75,0.005208333333333333,0.39999999999999997,3.2
29,18,58,2,1.75,0.05989583333333333,0.39999999999999997,3.2
30,17,62,1,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
31,17,60,1,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
32,18,58,1,1.75,0.046875,0.39999999999999997,3.2
33,18,59,3,1.75,0.05989583333333333,0.39999999999999997,3.2
34,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
35,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
36,18,58,2,1.75,0.057291666666666664,0.39999999999999997,3.2
37,17,59,3,1.7142857142857142,0.057291666666666664,0.21295885499997994,3.0476190476190474
38,18,58,4,1.75,0.07291666666666666,0.39999999999999997,3.2
39,18,61,1,1.7,0.028645833333333332,0.39999999999999997,3.2
40,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
41,17,60,0,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
42,17,58,3,1.6666666666666667,0.0625,0.21295885499997994,3.0476190476190474
43,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
44,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
45,17,59,3,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
46,18,63,0,1.75,0.0078125,0.39999999999999997,3.2
47,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
