Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,19,53,1,1.4736842105263157,0.02976190476190476,0.39385867229199384,2.9473684210526314
3,19,56,0,1.631578947368421,0.027777777777777776,0.4880851839734581,3.1578947368421053
4,18,56,2,1.55,0.0423728813559322,0.3840572873934304,2.95
5,17,59,2,1.7142857142857142,0.046875,0.21295885499997994,3.0476190476190474
6,19,55,4,1.6842105263157894,0.075,0.4880851839734581,3.1578947368421053
7,17,59,0,1.7142857142857142,0.02864583333333333,0.21295885499997994,3.0476190476190474
8,17,57,1,1.619047619047619,0.030555555555555555,0.46656947481584343,2.857142857142857
9,18,56,3,1.6,0.058333333333333334,0.6324555320336759,3.0
10,18,60,3,1.65,0.0546875,0.39999999999999997,3.2
11,17,54,3,1.5238095238095237,0.07222222222222222,0.6388765649999399,2.857142857142857
12,18,63,0,1.75,0.0078125,0.39999999999999997,3.2
13,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
14,18,48,3,1.6,0.1111111111111111,0.31622776601683794,3.0
15,19,55,2,1.6842105263157894,0.05277777777777778,0.488085183973458,3.1578947368421053
16,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
17,20,59,0,1.7222222222222223,0.008333333333333333,0.5773502691896258,3.3333333333333335
18,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
19,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
20,19,58,1,1.631578947368421,0.02222222222222222,0.48808518397345807,3.1578947368421053
21,18,50,2,1.45,0.06725146198830409,0.5722761571129799,2.85
22,17,51,5,1.5238095238095237,0.1111111111111111,0.6388765649999399,2.857142857142857
23,19,57,1,1.631578947368421,0.025423728813559324,0.5520046569316587,3.1052631578947367
24,18,59,1,1.75,0.044270833333333336,0.39999999999999997,3.2
25,18,56,1,1.75,0.057291666666666664,0.39999999999999997,3.2
26,20,51,4,1.6666666666666667,0.09722222222222222,0.5773502691896257,3.3333333333333335
27,18,54,0,1.6,0.04444444444444444,0.31622776601683794,3.0
28,18,53,3,1.45,0.058479532163742694,0.5722761571129799,2.85
29,18,61,0,1.75,0.0234375,0.39999999999999997,3.2
30,18,58,2,1.75,0.05208333333333333,0.39999999999999997,3.2
31,17,56,1,1.5238095238095237,0.03888888888888888,0.6388765649999399,2.857142857142857
32,17,55,2,1.5238095238095237,0.05555555555555555,0.6388765649999399,2.857142857142857
33,17,60,1,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
34,18,62,1,1.75,0.020833333333333332,0.39999999999999997,3.2
35,18,57,1,1.65,0.030555555555555555,0.31622776601683794,3.0
36,19,56,3,1.631578947368421,0.058333333333333334,0.4880851839734581,3.1578947368421053
37,18,54,3,1.55,0.06944444444444443,0.7745966692414834,3.0
38,17,56,4,1.7142857142857142,0.08854166666666666,0.21295885499997994,3.0476190476190474
39,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
40,19,51,4,1.6842105263157894,0.09999999999999999,0.48808518397345807,3.1578947368421053
41,18,56,1,1.6,0.03611111111111111,0.31622776601683794,3.0
42,19,54,1,1.631578947368421,0.05555555555555555,0.4880851839734581,3.1578947368421053
43,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
44,18,56,2,1.75,0.0703125,0.39999999999999997,3.2
45,18,55,3,1.55,0.05649717514124294,0.3840572873934304,2.95
46,17,59,0,1.7142857142857142,0.031249999999999997,0.21295885499997994,3.0476190476190474
47,19,54,0,1.5263157894736843,0.023391812865497075,0.45883146774112354,3.0
48,18,50,6,1.6,0.12429378531073446,0.3840572873934304,2.95
49,18,57,2,1.75,0.0625,0.39999999999999997,3.2
50,17,55,3,1.5714285714285714,0.06388888888888888,0.5593971487843206,2.857142857142857
51,19,53,5,1.6842105263157894,0.09444444444444446,0.48808518397345807,3.1578947368421053
52,19,58,4,1.7894736842105263,0.07291666666666666,0.4823763889427201,3.3684210526315788
53,19,55,5,1.6842105263157894,0.08333333333333333,0.48808518397345807,3.1578947368421053
54,19,54,1,1.6842105263157894,0.047222222222222214,0.4880851839734581,3.1578947368421053
55,18,60,2,1.75,0.046875,0.39999999999999997,3.2
56,17,57,2,1.5238095238095237,0.041666666666666664,0.6388765649999399,2.857142857142857
57,19,60,0,1.6842105263157894,0.0,0.4880851839734581,3.1578947368421053
58,17,56,1,1.5238095238095237,0.041666666666666664,0.5593971487843206,2.857142857142857
59,19,48,2,1.5789473684210527,0.0903954802259887,0.5520046569316587,3.1052631578947367
60,18,58,3,1.75,0.0703125,0.39999999999999997,3.2
61,18,53,1,1.65,0.049999999999999996,0.31622776601683794,3.0
62,19,56,2,1.6842105263157894,0.05,0.48808518397345807,3.1578947368421053
63,18,62,1,1.75,0.020833333333333332,0.39999999999999997,3.2
64,17,56,2,1.380952380952381,0.03954802259887006,0.6632565846278151,2.8095238095238093
65,18,50,3,1.45,0.0847953216374269,0.5722761571129799,2.85
66,20,53,1,1.5555555555555556,0.043859649122807015,0.6009252125773316,3.1666666666666665
67,19,60,1,1.7894736842105263,0.033854166666666664,0.48237638894272,3.3684210526315788
68,18,58,4,1.75,0.07291666666666666,0.39999999999999997,3.2
69,18,59,3,1.75,0.05989583333333333,0.39999999999999997,3.2
70,18,54,3,1.75,0.08854166666666666,0.39999999999999997,3.2
71,18,51,1,1.45,0.06497175141242938,0.804673846971554,2.95
72,18,55,2,1.55,0.04519774011299435,0.3840572873934304,2.95
73,18,60,0,1.75,0.028645833333333332,0.39999999999999997,3.2
74,19,57,0,1.6842105263157894,0.02222222222222222,0.4880851839734581,3.1578947368421053
75,18,55,2,1.65,0.05555555555555555,0.31622776601683794,3.0
76,19,52,2,1.6842105263157894,0.07222222222222222,0.48808518397345807,3.1578947368421053
77,18,59,0,1.55,0.008333333333333333,0.7745966692414834,3.0
78,17,58,0,1.5238095238095237,0.013888888888888888,0.5593971487843206,2.857142857142857
79,19,54,1,1.5789473684210527,0.04519774011299435,0.5520046569316587,3.1052631578947367
80,19,60,1,1.7894736842105263,0.033854166666666664,0.4823763889427201,3.3684210526315788
81,17,51,4,1.5714285714285714,0.1,0.46656947481584343,2.857142857142857
82,18,56,2,1.65,0.05,0.31622776601683794,3.0
83,17,54,3,1.5238095238095237,0.07222222222222222,0.6388765649999399,2.857142857142857
84,18,56,1,1.55,0.03389830508474576,0.3840572873934304,2.95
85,19,54,3,1.6842105263157894,0.07222222222222222,0.4880851839734581,3.1578947368421053
86,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
87,18,63,1,1.75,0.015625,0.39999999999999997,3.2
88,18,55,2,1.6,0.05277777777777778,0.31622776601683794,3.0
89,17,55,2,1.5238095238095237,0.05555555555555556,0.6388765649999399,2.857142857142857
90,19,53,0,1.6842105263157894,0.05277777777777778,0.4880851839734581,3.1578947368421053
91,18,54,2,1.55,0.06666666666666667,0.7745966692414834,3.0
92,17,55,3,1.7142857142857142,0.08854166666666666,0.21295885499997994,3.0476190476190474
93,18,55,2,1.75,0.07552083333333333,0.39999999999999997,3.2
94,17,55,2,1.5238095238095237,0.05277777777777778,0.6388765649999399,2.857142857142857
95,17,53,2,1.5714285714285714,0.06944444444444443,0.46656947481584343,2.857142857142857
96,18,58,0,1.55,0.013888888888888888,0.7071067811865476,3.0
97,18,56,2,1.65,0.047222222222222214,0.31622776601683794,3.0
98,17,61,1,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
99,18,51,1,1.45,0.06140350877192982,0.5722761571129799,2.85
100,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
101,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
102,18,55,1,1.75,0.06510416666666666,0.39999999999999997,3.2
103,17,61,1,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
104,17,55,0,1.5238095238095237,0.03611111111111111,0.6388765649999399,2.857142857142857
105,18,55,2,1.65,0.05555555555555555,0.31622776601683794,3.0
106,19,54,1,1.6842105263157894,0.05277777777777778,0.48808518397345807,3.1578947368421053
107,19,60,1,1.7894736842105263,0.031249999999999997,0.4823763889427201,3.3684210526315788
108,18,59,3,1.75,0.05989583333333333,0.39999999999999997,3.2
109,17,56,3,1.5238095238095237,0.05084745762711865,0.39267672624930106,2.8095238095238093
110,18,61,2,1.75,0.03645833333333333,0.39999999999999997,3.2
111,18,56,0,1.55,0.027777777777777776,0.7745966692414834,3.0
112,19,52,5,1.6842105263157894,0.10555555555555556,0.4880851839734581,3.1578947368421053
113,19,49,2,1.5263157894736843,0.07894736842105263,0.45883146774112354,3.0
114,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
115,18,56,2,1.75,0.06770833333333333,0.39999999999999997,3.2
116,19,55,2,1.6842105263157894,0.05555555555555555,0.48808518397345807,3.1578947368421053
117,18,60,1,1.7,0.031249999999999997,0.39999999999999997,3.2
118,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
119,19,54,1,1.631578947368421,0.04519774011299435,0.5520046569316588,3.1052631578947367
120,18,61,2,1.75,0.0390625,0.39999999999999997,3.2
121,18,57,1,1.65,0.027777777777777776,0.31622776601683794,3.0
122,19,55,1,1.6842105263157894,0.047222222222222214,0.4880851839734581,3.1578947368421053
123,18,54,3,1.65,0.07222222222222222,0.31622776601683794,3.0
124,18,60,0,1.7,0.028645833333333332,0.39999999999999997,3.2
125,18,56,0,1.6,0.027777777777777776,0.31622776601683794,3.0
126,17,58,0,1.4761904761904763,0.013888888888888888,0.6388765649999399,2.857142857142857
127,17,55,1,1.5238095238095237,0.047222222222222214,0.5593971487843206,2.857142857142857
128,19,55,0,1.6842105263157894,0.030555555555555555,0.4880851839734581,3.1578947368421053
129,18,59,1,1.6,0.016666666666666666,0.31622776601683794,3.0
130,18,52,0,1.65,0.058333333333333334,0.31622776601683794,3.0
131,17,57,1,1.7142857142857142,0.057291666666666664,0.21295885499997994,3.0476190476190474
132,18,55,1,1.65,0.047222222222222214,0.31622776601683794,3.0
133,19,60,1,1.7894736842105263,0.03645833333333333,0.4823763889427201,3.3684210526315788
134,18,53,3,1.5,0.06140350877192982,0.3570714214271425,2.85
