Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,55,2,1.5238095238095237,0.05277777777777778,0.6388765649999399,2.857142857142857
3,18,60,3,1.75,0.05208333333333333,0.39999999999999997,3.2
4,19,59,0,1.631578947368421,0.005555555555555555,0.48808518397345807,3.1578947368421053
5,17,62,2,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
6,17,56,1,1.5714285714285714,0.03888888888888889,0.5593971487843206,2.857142857142857
7,19,51,4,1.6842105263157894,0.10555555555555556,0.4880851839734581,3.1578947368421053
8,17,60,3,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
9,18,57,1,1.75,0.05989583333333333,0.39999999999999997,3.2
10,17,60,3,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
11,18,56,2,1.6,0.047222222222222214,0.31622776601683794,3.0
12,17,54,1,1.5714285714285714,0.04722222222222223,0.5593971487843206,2.857142857142857
13,18,56,2,1.55,0.03954802259887005,0.3840572873934304,2.95
14,18,50,1,1.65,0.07777777777777777,0.4472135954999579,3.0
15,18,59,0,1.65,0.005555555555555555,0.31622776601683794,3.0
16,19,54,0,1.6842105263157894,0.04444444444444444,0.4880851839734581,3.1578947368421053
17,19,59,1,1.7894736842105263,0.04427083333333333,0.4823763889427201,3.3684210526315788
18,17,58,3,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
19,19,56,2,1.6842105263157894,0.04722222222222223,0.48808518397345807,3.1578947368421053
20,19,52,4,1.6842105263157894,0.09444444444444443,0.4880851839734581,3.1578947368421053
21,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
22,18,57,1,1.65,0.030555555555555555,0.31622776601683794,3.0
23,17,55,0,1.5238095238095237,0.027777777777777776,0.6388765649999399,2.857142857142857
24,18,52,1,1.45,0.04678362573099415,0.5722761571129799,2.85
25,18,52,4,1.6,0.0903954802259887,0.3840572873934304,2.95
26,17,58,0,1.5238095238095237,0.01111111111111111,0.6388765649999399,2.857142857142857
27,20,54,2,1.7222222222222223,0.06111111111111111,0.5773502691896257,3.3333333333333335
28,18,53,1,1.6,0.04519774011299435,0.3840572873934304,2.95
29,18,57,0,1.6,0.02222222222222222,0.31622776601683794,3.0
30,19,53,0,1.6842105263157894,0.047222222222222214,0.48808518397345807,3.1578947368421053
31,18,55,1,1.65,0.04444444444444444,0.31622776601683794,3.0
32,18,60,4,1.75,0.0625,0.39999999999999997,3.2
33,18,53,4,1.6,0.08888888888888888,0.6324555320336759,3.0
34,17,54,1,1.5238095238095237,0.05277777777777778,0.6388765649999399,2.857142857142857
35,17,55,1,1.4761904761904763,0.041666666666666664,0.6388765649999399,2.857142857142857
36,18,58,4,1.75,0.078125,0.39999999999999997,3.2
