Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,62,0,1.75,0.010416666666666666,0.39999999999999997,3.2
3,17,62,1,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
4,18,56,3,1.75,0.07552083333333333,0.39999999999999997,3.2
5,17,61,1,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
6,17,55,3,1.7142857142857142,0.08072916666666666,0.21295885499997994,3.0476190476190474
7,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
8,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
9,17,61,1,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
10,18,59,0,1.75,0.033854166666666664,0.39999999999999997,3.2
11,18,57,1,1.7,0.04761904761904761,0.47696960070847283,3.15
12,19,60,1,1.7894736842105263,0.03645833333333333,0.4823763889427201,3.3684210526315788
13,18,61,2,1.75,0.036458333333333336,0.39999999999999997,3.2
14,18,62,1,1.7,0.020833333333333332,0.39999999999999997,3.2
15,18,57,2,1.75,0.06510416666666666,0.39999999999999997,3.2
16,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
17,17,62,0,1.7142857142857142,0.010416666666666666,0.21295885499997994,3.0476190476190474
18,19,61,0,1.7894736842105263,0.018229166666666664,0.4823763889427201,3.3684210526315788
19,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
20,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
21,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
22,17,61,2,1.6666666666666667,0.03645833333333333,0.21295885499997994,3.0476190476190474
23,17,59,3,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
24,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
25,19,59,1,1.7894736842105263,0.046875,0.4823763889427201,3.3684210526315788
26,19,59,1,1.7894736842105263,0.0390625,0.4823763889427201,3.3684210526315788
27,17,58,3,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
28,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
29,17,62,0,1.7142857142857142,0.013020833333333332,0.21295885499997996,3.0476190476190474
30,18,56,4,1.75,0.09114583333333333,0.39999999999999997,3.2
31,18,60,1,1.75,0.033854166666666664,0.39999999999999997,3.2
32,19,63,1,1.7894736842105263,0.015625,0.4823763889427201,3.3684210526315788
33,18,60,0,1.75,0.023437499999999997,0.39999999999999997,3.2
34,18,61,2,1.75,0.036458333333333336,0.39999999999999997,3.2
35,18,63,0,1.75,0.0078125,0.39999999999999997,3.2
36,18,58,4,1.75,0.078125,0.39999999999999997,3.2
37,18,58,2,1.75,0.05729166666666666,0.39999999999999997,3.2
38,17,56,5,1.7142857142857142,0.09635416666666666,0.21295885499997994,3.0476190476190474
39,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
40,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
41,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
42,18,63,1,1.75,0.015625,0.39999999999999997,3.2
43,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
44,18,56,2,1.75,0.07552083333333333,0.39999999999999997,3.2
45,18,63,0,1.7,0.0,0.47696960070847283,3.15
46,18,55,3,1.75,0.08854166666666666,0.39999999999999997,3.2
