Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,60,0,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
3,18,57,4,1.75,0.08072916666666666,0.39999999999999997,3.2
4,17,61,1,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
5,18,61,1,1.75,0.03125,0.39999999999999997,3.2
6,18,62,0,1.75,0.015625,0.39999999999999997,3.2
7,18,58,3,1.75,0.0703125,0.39999999999999997,3.2
8,18,57,1,1.7,0.047619047619047616,0.47696960070847283,3.15
9,17,62,1,1.7142857142857142,0.0234375,0.21295885499997994,3.0476190476190474
10,18,59,1,1.75,0.041666666666666664,0.39999999999999997,3.2
11,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
12,18,57,1,1.75,0.05729166666666666,0.39999999999999997,3.2
13,18,60,3,1.75,0.0546875,0.39999999999999997,3.2
14,17,60,0,1.6666666666666667,0.023809523809523808,0.3086066999241838,3.0
15,19,59,3,1.7894736842105263,0.0625,0.48237638894272,3.3684210526315788
16,18,62,2,1.75,0.03125,0.39999999999999997,3.2
17,17,61,1,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
18,17,60,1,1.7142857142857142,0.03645833333333333,0.21295885499997994,3.0476190476190474
19,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
20,17,59,2,1.6666666666666667,0.0546875,0.21295885499997994,3.0476190476190474
21,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
22,19,58,2,1.7894736842105263,0.0546875,0.4823763889427201,3.3684210526315788
23,19,57,3,1.7894736842105263,0.07552083333333333,0.4823763889427201,3.3684210526315788
24,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
25,19,59,3,1.7894736842105263,0.05989583333333333,0.48237638894272,3.3684210526315788
26,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
27,19,56,3,1.7894736842105263,0.078125,0.4823763889427201,3.3684210526315788
28,18,56,3,1.75,0.08072916666666666,0.39999999999999997,3.2
29,18,57,3,1.75,0.0703125,0.39999999999999997,3.2
30,18,57,2,1.75,0.06770833333333333,0.39999999999999997,3.2
31,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
32,17,63,1,1.7142857142857142,0.015625,0.21295885499997994,3.0476190476190474
33,18,59,2,1.75,0.046875,0.39999999999999997,3.2
34,18,59,3,1.75,0.05989583333333333,0.39999999999999997,3.2
35,17,58,3,1.7142857142857142,0.0625,0.21295885499997994,3.0476190476190474
36,19,60,2,1.7894736842105263,0.046875,0.4823763889427201,3.3684210526315788
37,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
38,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
39,18,58,2,1.75,0.0546875,0.39999999999999997,3.2
40,20,59,2,1.8333333333333333,0.049479166666666664,0.49690399499995325,3.5555555555555554
41,18,55,6,1.75,0.11458333333333333,0.39999999999999997,3.2
