Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,59,2,1.7142857142857142,0.049479166666666664,0.21295885499997994,3.0476190476190474
3,18,62,2,1.75,0.03125,0.39999999999999997,3.2
4,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
5,18,58,2,1.75,0.05729166666666666,0.39999999999999997,3.2
6,19,62,1,1.7894736842105263,0.020833333333333332,0.4823763889427201,3.3684210526315788
7,17,54,2,1.7142857142857142,0.08333333333333333,0.21295885499997994,3.0476190476190474
8,18,60,2,1.7,0.041666666666666664,0.39999999999999997,3.2
9,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
10,19,58,1,1.7894736842105263,0.04687499999999999,0.4823763889427201,3.3684210526315788
11,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
12,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
13,20,56,5,1.8333333333333333,0.09895833333333334,0.49690399499995325,3.5555555555555554
14,18,58,2,1.75,0.05989583333333333,0.39999999999999997,3.2
15,17,56,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
16,19,60,1,1.7894736842105263,0.03645833333333333,0.4823763889427201,3.3684210526315788
17,18,59,2,1.75,0.0546875,0.39999999999999997,3.2
18,18,56,3,1.75,0.08072916666666666,0.39999999999999997,3.2
19,18,58,3,1.75,0.0703125,0.39999999999999997,3.2
20,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
21,18,62,1,1.75,0.020833333333333332,0.39999999999999997,3.2
22,18,59,2,1.75,0.052083333333333336,0.39999999999999997,3.2
23,17,57,3,1.6666666666666667,0.0703125,0.21295885499997994,3.0476190476190474
24,17,61,2,1.7142857142857142,0.036458333333333336,0.21295885499997994,3.0476190476190474
25,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
26,19,60,2,1.7894736842105263,0.041666666666666664,0.4823763889427201,3.3684210526315788
27,17,60,0,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
28,17,59,4,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
29,17,60,1,1.6666666666666667,0.03645833333333333,0.21295885499997994,3.0476190476190474
30,18,57,2,1.75,0.06510416666666666,0.39999999999999997,3.2
31,19,60,2,1.736842105263158,0.041666666666666664,0.4823763889427201,3.3684210526315788
32,18,56,4,1.75,0.09114583333333333,0.39999999999999997,3.2
33,19,58,2,1.7894736842105263,0.05729166666666666,0.4823763889427201,3.3684210526315788
34,19,59,1,1.7894736842105263,0.041666666666666664,0.4823763889427201,3.3684210526315788
35,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
36,17,61,1,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
37,18,59,1,1.75,0.04166666666666667,0.39999999999999997,3.2
38,17,55,3,1.7142857142857142,0.08854166666666666,0.21295885499997994,3.0476190476190474
39,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
40,18,59,2,1.75,0.0546875,0.39999999999999997,3.2
41,19,54,7,1.7894736842105263,0.12760416666666666,0.4823763889427201,3.3684210526315788
42,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
43,17,57,1,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
44,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
45,17,57,2,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
46,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
47,18,57,4,1.75,0.0859375,0.39999999999999997,3.2
48,18,59,0,1.75,0.03125,0.39999999999999997,3.2
49,19,57,1,1.7894736842105263,0.059895833333333336,0.4823763889427201,3.3684210526315788
50,17,58,2,1.7142857142857142,0.057291666666666664,0.21295885499997994,3.0476190476190474
51,17,60,3,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
52,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
53,17,59,1,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
54,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
55,17,63,1,1.7142857142857142,0.015625,0.21295885499997994,3.0476190476190474
56,18,59,2,1.75,0.046875,0.39999999999999997,3.2
57,17,59,3,1.7142857142857142,0.0625,0.21295885499997994,3.0476190476190474
58,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
59,19,62,1,1.7894736842105263,0.0234375,0.4823763889427201,3.3684210526315788
60,18,56,2,1.75,0.06770833333333333,0.39999999999999997,3.2
