Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,57,5,1.6,0.09114583333333333,0.39999999999999997,3.2
3,19,55,0,1.4210526315789473,0.022988505747126436,0.6862318321265946,3.0526315789473686
4,19,51,0,1.3157894736842106,0.0303030303030303,0.44659375653887207,2.8947368421052633
5,18,54,1,1.3,0.026785714285714284,0.6,2.8
6,18,49,4,1.25,0.09523809523809523,0.6782329983125268,2.8
7,19,55,1,1.368421052631579,0.017857142857142856,0.39385867229199384,2.9473684210526314
8,19,53,1,1.3157894736842106,0.024242424242424242,0.44659375653887207,2.8947368421052633
9,19,59,0,1.736842105263158,0.028645833333333332,0.4823763889427201,3.3684210526315788
10,17,52,2,1.2857142857142858,0.05555555555555555,0.6998542122237651,2.7142857142857144
11,19,49,1,1.3157894736842106,0.05454545454545454,0.44659375653887207,2.8947368421052633
12,19,47,6,1.4736842105263157,0.14080459770114945,0.6046908048987398,3.0526315789473686
13,19,50,4,1.368421052631579,0.08928571428571429,0.39385867229199384,2.9473684210526314
14,18,59,2,1.6,0.04947916666666666,0.39999999999999997,3.2
15,19,57,1,1.4210526315789473,0.017241379310344827,0.6862318321265946,3.0526315789473686
16,19,52,1,1.368421052631579,0.038690476190476185,0.39385867229199384,2.9473684210526314
17,17,53,1,1.2857142857142858,0.04310344827586207,0.7499055118106486,2.761904761904762
18,19,55,3,1.7894736842105263,0.08854166666666666,0.48237638894272,3.3684210526315788
19,19,49,2,1.4210526315789473,0.08333333333333333,0.6862318321265946,3.0526315789473686
20,19,52,2,1.4210526315789473,0.0632183908045977,0.6862318321265946,3.0526315789473686
21,17,54,1,1.2857142857142858,0.04022988505747126,0.7499055118106486,2.761904761904762
22,18,58,3,1.65,0.06770833333333333,0.39999999999999997,3.2
23,18,51,8,1.6,0.15885416666666666,0.39999999999999997,3.2
24,18,61,2,1.65,0.036458333333333336,0.39999999999999997,3.2
25,18,52,0,1.4,0.038011695906432746,0.3570714214271425,2.85
26,18,53,1,1.2,0.02727272727272727,0.698212002188447,2.75
27,19,56,0,1.4210526315789473,0.011494252873563218,0.6862318321265946,3.0526315789473686
28,18,58,0,1.6,0.0390625,0.39999999999999997,3.2
29,18,50,4,1.25,0.08333333333333333,0.6782329983125268,2.8
30,19,53,1,1.3157894736842106,0.02727272727272727,0.44659375653887207,2.8947368421052633
31,19,53,1,1.368421052631579,0.03273809523809524,0.39385867229199384,2.9473684210526314
32,19,54,0,1.368421052631579,0.017857142857142856,0.39385867229199384,2.9473684210526314
33,19,50,3,1.3157894736842106,0.0696969696969697,0.44659375653887207,2.8947368421052633
34,18,52,2,1.4,0.0632183908045977,0.5385164807134505,2.9
35,18,56,1,1.45,0.02586206896551724,0.3,2.9
36,18,52,2,1.35,0.05357142857142857,0.5099019513592784,2.8
37,19,51,3,1.4210526315789473,0.08333333333333334,0.6862318321265946,3.0526315789473686
38,19,55,1,1.368421052631579,0.017857142857142856,0.39385867229199384,2.9473684210526314
39,18,57,3,1.65,0.07031249999999999,0.39999999999999997,3.2
40,17,55,0,1.2857142857142858,0.022988505747126436,0.7499055118106486,2.761904761904762
41,18,51,1,1.4,0.06034482758620689,0.5385164807134505,2.9
42,18,52,3,1.25,0.05952380952380952,0.6782329983125268,2.8
43,19,47,3,1.263157894736842,0.08333333333333333,0.36464227527765836,2.8421052631578947
44,19,51,1,1.3157894736842106,0.04242424242424242,0.44659375653887207,2.8947368421052633
45,19,49,0,1.3157894736842106,0.048484848484848485,0.44659375653887207,2.8947368421052633
46,18,59,2,1.7,0.0546875,0.39999999999999997,3.2
47,19,58,1,1.736842105263158,0.05208333333333333,0.48237638894272,3.3684210526315788
48,18,55,5,1.65,0.10416666666666667,0.39999999999999997,3.2
49,19,52,1,1.3157894736842106,0.0303030303030303,0.44659375653887207,2.8947368421052633
50,19,49,2,1.3157894736842106,0.06969696969696969,0.44659375653887207,2.8947368421052633
51,19,50,2,1.4210526315789473,0.08045977011494251,0.6862318321265946,3.0526315789473686
52,19,56,0,1.4210526315789473,0.011494252873563218,0.6862318321265946,3.0526315789473686
53,18,51,3,1.3,0.06060606060606061,0.4330127018922193,2.75
54,18,51,1,1.3,0.044642857142857144,0.6,2.8
55,18,62,2,1.7,0.03125,0.39999999999999997,3.2
56,17,53,2,1.2857142857142858,0.05459770114942528,0.7499055118106486,2.761904761904762
57,19,48,3,1.3157894736842106,0.08181818181818182,0.4465937565388721,2.8947368421052633
58,18,62,0,1.65,0.010416666666666666,0.39999999999999997,3.2
59,18,51,3,1.25,0.07142857142857142,0.6782329983125268,2.8
60,19,51,3,1.368421052631579,0.07142857142857142,0.39385867229199384,2.9473684210526314
61,19,57,0,1.4210526315789473,0.008620689655172414,0.6862318321265946,3.0526315789473686
62,19,53,2,1.368421052631579,0.044642857142857144,0.39385867229199384,2.9473684210526314
63,18,50,3,1.3,0.07738095238095237,0.6,2.8
64,18,50,3,1.35,0.07142857142857142,0.5099019513592785,2.8
65,19,59,2,1.736842105263158,0.05208333333333333,0.48237638894272,3.3684210526315788
66,18,51,1,1.35,0.05059523809523809,0.39999999999999997,2.8
67,19,50,3,1.4210526315789473,0.08908045977011493,0.6862318321265946,3.0526315789473686
68,19,52,0,1.368421052631579,0.03571428571428571,0.39385867229199384,2.9473684210526314
69,19,52,2,1.368421052631579,0.05357142857142857,0.39385867229199384,2.9473684210526314
70,19,48,2,1.3157894736842106,0.07878787878787878,0.44659375653887207,2.8947368421052633
71,19,54,2,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
72,18,53,0,1.25,0.017857142857142856,0.6782329983125268,2.8
73,18,50,1,1.3,0.05654761904761905,0.6,2.8
74,18,52,2,1.4,0.06609195402298851,0.5385164807134505,2.9
75,18,52,2,1.3,0.05059523809523809,0.6,2.8
76,19,54,0,1.3157894736842106,0.006060606060606061,0.44659375653887207,2.8947368421052633
77,18,49,2,1.3,0.06547619047619048,0.6,2.8
78,19,49,3,1.3157894736842106,0.08181818181818182,0.44659375653887207,2.8947368421052633
79,18,55,0,1.25,0.005952380952380952,0.6782329983125268,2.8
80,19,59,1,1.736842105263158,0.041666666666666664,0.4823763889427201,3.3684210526315788
81,18,55,2,1.7,0.078125,0.39999999999999997,3.2
82,19,54,2,1.368421052631579,0.03571428571428571,0.3938586722919938,2.9473684210526314
83,18,53,1,1.35,0.03273809523809524,0.5099019513592785,2.8
84,17,52,1,1.2380952380952381,0.049707602339181284,0.764875162105191,2.7142857142857144
85,19,50,2,1.3157894736842106,0.05757575757575757,0.44659375653887207,2.8947368421052633
86,19,49,0,1.3157894736842106,0.048484848484848485,0.44659375653887207,2.8947368421052633
87,17,54,0,1.2857142857142858,0.028735632183908042,0.7499055118106486,2.761904761904762
88,19,59,3,1.736842105263158,0.05729166666666666,0.4823763889427201,3.3684210526315788
89,18,53,2,1.4,0.0603448275862069,0.5385164807134505,2.9
90,18,52,1,1.35,0.043859649122807015,0.5722761571129799,2.85
91,19,50,3,1.263157894736842,0.06481481481481481,0.36464227527765836,2.8421052631578947
92,18,51,3,1.3,0.07142857142857142,0.6,2.8
93,19,50,2,1.3157894736842106,0.05757575757575757,0.44659375653887207,2.8947368421052633
94,18,61,0,1.65,0.020833333333333332,0.39999999999999997,3.2
95,18,53,1,1.25,0.02976190476190476,0.6782329983125268,2.8
96,19,52,3,1.368421052631579,0.05952380952380952,0.39385867229199384,2.9473684210526314
97,19,53,2,1.4736842105263157,0.05459770114942528,0.6046908048987397,3.0526315789473686
98,18,56,4,1.7,0.09375,0.39999999999999997,3.2
99,18,52,3,1.4,0.06725146198830409,0.3570714214271425,2.85
100,17,53,1,1.380952380952381,0.03508771929824561,0.5471012044321932,2.7142857142857144
101,19,53,2,1.368421052631579,0.041666666666666664,0.3938586722919938,2.9473684210526314
102,18,58,1,1.65,0.049479166666666664,0.39999999999999997,3.2
103,18,54,0,1.35,0.023391812865497075,0.5722761571129799,2.85
104,18,50,2,1.2,0.06363636363636363,0.698212002188447,2.75
105,19,52,2,1.3157894736842106,0.045454545454545456,0.44659375653887207,2.8947368421052633
106,18,53,0,1.35,0.023809523809523808,0.5099019513592784,2.8
107,17,52,1,1.2380952380952381,0.041666666666666664,0.7126966450997984,2.6666666666666665
108,19,53,1,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
109,18,57,4,1.65,0.07812500000000001,0.39999999999999997,3.2
110,18,51,1,1.3,0.044642857142857144,0.6,2.8
111,19,52,0,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
112,18,56,2,1.65,0.0703125,0.39999999999999997,3.2
113,18,58,2,1.7,0.05729166666666666,0.39999999999999997,3.2
114,18,61,0,1.6,0.020833333333333332,0.39999999999999997,3.2
115,18,49,2,1.25,0.07142857142857142,0.6782329983125268,2.8
116,19,51,0,1.3157894736842106,0.02727272727272727,0.4465937565388721,2.8947368421052633
117,18,51,0,1.25,0.038690476190476185,0.6782329983125268,2.8
118,18,51,4,1.25,0.08035714285714286,0.6782329983125268,2.8
119,18,58,2,1.7,0.059895833333333336,0.39999999999999997,3.2
120,19,62,0,1.7894736842105263,0.010416666666666666,0.4823763889427201,3.3684210526315788
121,18,54,0,1.25,0.01488095238095238,0.6782329983125268,2.8
122,18,57,1,1.7,0.0546875,0.39999999999999997,3.2
123,18,55,3,1.7,0.08854166666666666,0.39999999999999997,3.2
124,19,53,1,1.3157894736842106,0.024242424242424242,0.44659375653887207,2.8947368421052633
125,18,52,4,1.65,0.11458333333333331,0.39999999999999997,3.2
126,17,55,1,1.2857142857142858,0.03160919540229885,0.7499055118106486,2.761904761904762
127,19,49,3,1.3157894736842106,0.07575757575757575,0.4465937565388721,2.8947368421052633
128,19,49,5,1.4736842105263157,0.11206896551724138,0.6046908048987398,3.0526315789473686
129,18,52,2,1.4,0.05847953216374269,0.47696960070847283,2.85
130,19,58,2,1.736842105263158,0.05729166666666667,0.4823763889427201,3.3684210526315788
131,18,53,1,1.3,0.024242424242424242,0.4330127018922193,2.75
132,19,60,1,1.736842105263158,0.03645833333333333,0.4823763889427201,3.3684210526315788
133,18,53,1,1.2,0.024242424242424242,0.698212002188447,2.75
134,19,51,1,1.3157894736842106,0.04242424242424242,0.44659375653887207,2.8947368421052633
135,18,57,1,1.7,0.05208333333333333,0.39999999999999997,3.2
136,18,61,2,1.6,0.03645833333333333,0.39999999999999997,3.2
