Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,57,2,1.7,0.06510416666666666,0.39999999999999997,3.2
3,18,58,1,1.65,0.05208333333333333,0.39999999999999997,3.2
4,18,58,2,1.65,0.057291666666666664,0.39999999999999997,3.2
5,18,52,1,1.4,0.05263157894736842,0.3570714214271425,2.85
6,17,53,1,1.2857142857142858,0.048850574712643674,0.7499055118106486,2.761904761904762
7,18,51,1,1.35,0.041666666666666664,0.39999999999999997,2.8
8,18,51,2,1.3,0.06725146198830409,0.7262919523166975,2.85
9,19,53,1,1.368421052631579,0.03273809523809524,0.39385867229199384,2.9473684210526314
10,18,51,0,1.25,0.041666666666666664,0.6782329983125268,2.8
11,19,50,3,1.4736842105263157,0.08908045977011493,0.6046908048987398,3.0526315789473686
12,18,60,1,1.7,0.033854166666666664,0.39999999999999997,3.2
13,18,48,2,1.4,0.08620689655172414,0.5385164807134505,2.9
14,19,50,1,1.3157894736842106,0.048484848484848485,0.44659375653887207,2.8947368421052633
15,19,53,0,1.368421052631579,0.023809523809523808,0.39385867229199384,2.9473684210526314
16,19,52,2,1.368421052631579,0.04761904761904762,0.39385867229199384,2.9473684210526314
17,18,55,2,1.75,0.078125,0.39999999999999997,3.2
18,18,51,3,1.25,0.07142857142857142,0.6782329983125268,2.8
19,18,53,0,1.4,0.04310344827586207,0.5385164807134505,2.9
20,18,60,0,1.7,0.03125,0.39999999999999997,3.2
21,18,53,1,1.35,0.03273809523809524,0.5099019513592784,2.8
22,18,54,1,1.4,0.037356321839080456,0.5385164807134505,2.9
23,18,54,1,1.25,0.026785714285714284,0.6782329983125268,2.8
24,19,59,2,1.736842105263158,0.05208333333333333,0.4823763889427201,3.3684210526315788
25,18,56,0,1.4,0.008771929824561403,0.47696960070847283,2.85
26,19,49,2,1.3157894736842106,0.06666666666666667,0.44659375653887207,2.8947368421052633
27,18,51,4,1.35,0.0847953216374269,0.5722761571129799,2.85
28,19,51,3,1.4210526315789473,0.07017543859649122,0.45883146774112354,3.0
29,18,52,2,1.4,0.0603448275862069,0.5385164807134505,2.9
30,17,54,1,1.2380952380952381,0.029239766081871343,0.764875162105191,2.7142857142857144
31,18,55,0,1.25,0.008928571428571428,0.6782329983125268,2.8
32,19,52,1,1.3157894736842106,0.03333333333333333,0.44659375653887207,2.8947368421052633
33,17,49,2,1.2380952380952381,0.0744047619047619,0.7126966450997984,2.6666666666666665
34,18,55,1,1.4,0.028735632183908042,0.5385164807134505,2.9
35,18,56,0,1.25,0.0,0.6782329983125268,2.8
36,19,52,1,1.4210526315789473,0.05459770114942528,0.6862318321265946,3.0526315789473686
37,18,53,0,1.25,0.020833333333333332,0.6782329983125268,2.8
38,19,51,1,1.3157894736842106,0.04242424242424242,0.44659375653887207,2.8947368421052633
39,18,54,1,1.35,0.026785714285714284,0.5099019513592784,2.8
40,18,51,3,1.3,0.06845238095238095,0.6,2.8
41,19,53,1,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
42,18,51,0,1.25,0.041666666666666664,0.6782329983125268,2.8
43,19,55,0,1.4210526315789473,0.02011494252873563,0.6862318321265946,3.0526315789473686
44,18,62,0,1.6,0.013020833333333332,0.39999999999999997,3.2
45,19,54,1,1.4210526315789473,0.037356321839080456,0.6862318321265946,3.0526315789473686
46,19,54,3,1.4736842105263157,0.0603448275862069,0.6046908048987397,3.0526315789473686
47,18,57,2,1.7,0.06510416666666666,0.39999999999999997,3.2
48,19,54,1,1.4210526315789473,0.037356321839080456,0.6862318321265946,3.0526315789473686
49,19,55,1,1.4210526315789473,0.03160919540229885,0.6862318321265946,3.0526315789473686
50,19,55,1,1.4210526315789473,0.023391812865497075,0.5619514869490163,3.0
51,18,54,0,1.35,0.01488095238095238,0.39999999999999997,2.8
52,18,61,1,1.7,0.03125,0.39999999999999997,3.2
53,19,54,0,1.3157894736842106,0.00909090909090909,0.44659375653887207,2.8947368421052633
54,19,55,1,1.4736842105263157,0.03160919540229885,0.6046908048987397,3.0526315789473686
55,18,50,2,1.4,0.06725146198830409,0.3570714214271425,2.85
56,18,51,3,1.25,0.07142857142857142,0.6782329983125268,2.8
57,18,59,0,1.7,0.03645833333333333,0.39999999999999997,3.2
58,18,52,2,1.25,0.05357142857142857,0.6782329983125268,2.8
59,18,60,1,1.65,0.0390625,0.39999999999999997,3.2
60,18,51,3,1.35,0.06845238095238096,0.5099019513592785,2.8
61,19,53,2,1.4210526315789473,0.05172413793103448,0.6862318321265946,3.0526315789473686
62,19,58,3,1.736842105263158,0.06770833333333333,0.48237638894272,3.3684210526315788
63,19,58,2,1.7894736842105263,0.059895833333333336,0.4823763889427201,3.3684210526315788
64,17,58,2,1.6666666666666667,0.0625,0.21295885499997994,3.0476190476190474
65,19,52,3,1.4210526315789473,0.07183908045977011,0.6862318321265946,3.0526315789473686
66,19,54,2,1.4210526315789473,0.048850574712643674,0.6862318321265946,3.0526315789473686
67,19,55,0,1.4210526315789473,0.022988505747126436,0.6862318321265946,3.0526315789473686
68,19,54,0,1.4210526315789473,0.028735632183908042,0.6862318321265946,3.0526315789473686
69,19,53,0,1.4210526315789473,0.037356321839080456,0.6862318321265946,3.0526315789473686
70,19,50,2,1.3157894736842106,0.0606060606060606,0.4465937565388721,2.8947368421052633
71,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
72,19,49,1,1.368421052631579,0.06725146198830409,0.7254762501100116,3.0
73,17,50,1,1.2857142857142858,0.06896551724137931,0.7499055118106486,2.761904761904762
74,19,61,1,1.736842105263158,0.028645833333333332,0.4823763889427201,3.3684210526315788
75,19,48,3,1.4210526315789473,0.10057471264367815,0.6862318321265946,3.0526315789473686
76,18,52,1,1.25,0.03571428571428571,0.6782329983125268,2.8
77,18,53,3,1.4,0.06321839080459771,0.5385164807134505,2.9
78,18,60,2,1.7,0.041666666666666664,0.39999999999999997,3.2
79,18,54,0,1.3,0.01488095238095238,0.6,2.8
80,18,56,3,1.65,0.078125,0.39999999999999997,3.2
81,19,50,3,1.3157894736842106,0.07272727272727272,0.44659375653887207,2.8947368421052633
82,19,52,3,1.4210526315789473,0.07183908045977011,0.6862318321265946,3.0526315789473686
83,19,57,1,1.4210526315789473,0.017241379310344827,0.6862318321265946,3.0526315789473686
84,18,49,2,1.25,0.07142857142857142,0.6782329983125268,2.8
85,19,54,3,1.4210526315789473,0.0603448275862069,0.6862318321265946,3.0526315789473686
86,18,51,2,1.3,0.05952380952380952,0.6,2.8
87,19,55,2,1.4210526315789473,0.04022988505747126,0.6862318321265946,3.0526315789473686
88,18,62,2,1.6,0.03125,0.39999999999999997,3.2
89,18,53,1,1.4,0.03508771929824561,0.3570714214271425,2.85
90,18,53,1,1.4,0.04885057471264368,0.5385164807134505,2.9
91,19,53,1,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
