Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,54,0,1.65,0.047222222222222214,0.31622776601683794,3.0
3,19,56,0,1.6842105263157894,0.03333333333333333,0.4880851839734581,3.1578947368421053
4,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
5,19,58,2,1.7894736842105263,0.05989583333333333,0.4823763889427201,3.3684210526315788
6,18,53,1,1.45,0.038011695906432746,0.5722761571129799,2.85
7,19,53,1,1.4736842105263157,0.038011695906432746,0.7254762501100116,3.0
8,17,55,3,1.5238095238095237,0.06388888888888888,0.6388765649999399,2.857142857142857
9,19,52,6,1.5789473684210527,0.10734463276836158,0.5520046569316587,3.1052631578947367
10,18,60,1,1.75,0.036458333333333336,0.39999999999999997,3.2
11,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
12,18,61,2,1.75,0.03645833333333333,0.39999999999999997,3.2
13,17,57,2,1.5238095238095237,0.041666666666666664,0.6388765649999399,2.857142857142857
14,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
15,18,54,1,1.6,0.05277777777777778,0.31622776601683794,3.0
16,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
17,18,57,0,1.55,0.02222222222222222,0.7745966692414834,3.0
18,19,52,5,1.631578947368421,0.10277777777777777,0.48808518397345807,3.1578947368421053
19,19,60,0,1.7894736842105263,0.03125,0.48237638894272,3.3684210526315788
20,18,55,3,1.65,0.06666666666666667,0.31622776601683794,3.0
21,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
22,18,52,3,1.45,0.06725146198830409,0.5722761571129799,2.85
23,17,57,2,1.5238095238095237,0.041666666666666664,0.6388765649999399,2.857142857142857
24,18,59,4,1.75,0.0703125,0.39999999999999997,3.2
25,18,56,3,1.65,0.058333333333333334,0.31622776601683794,3.0
26,17,58,1,1.5238095238095237,0.02222222222222222,0.5593971487843206,2.857142857142857
27,18,57,4,1.75,0.08072916666666666,0.39999999999999997,3.2
28,18,53,2,1.55,0.06779661016949153,0.3840572873934304,2.95
29,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
30,18,60,3,1.75,0.0546875,0.39999999999999997,3.2
31,18,58,1,1.75,0.049479166666666664,0.39999999999999997,3.2
32,17,55,2,1.5714285714285714,0.05555555555555555,0.46656947481584343,2.857142857142857
33,17,53,2,1.5238095238095237,0.07222222222222222,0.6388765649999399,2.857142857142857
34,18,59,1,1.75,0.041666666666666664,0.39999999999999997,3.2
35,19,58,2,1.7894736842105263,0.05729166666666666,0.4823763889427201,3.3684210526315788
36,19,58,0,1.631578947368421,0.01111111111111111,0.48808518397345807,3.1578947368421053
37,18,56,0,1.45,0.005847953216374269,0.5722761571129799,2.85
38,17,56,1,1.5238095238095237,0.03888888888888888,0.6388765649999399,2.857142857142857
39,18,56,1,1.6,0.041666666666666664,0.31622776601683794,3.0
40,18,60,0,1.75,0.0234375,0.39999999999999997,3.2
41,18,56,3,1.55,0.05555555555555555,0.7745966692414834,3.0
42,18,55,4,1.55,0.06779661016949153,0.3840572873934304,2.95
43,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
44,18,59,2,1.75,0.046875,0.39999999999999997,3.2
