Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,50,2,1.3,0.06060606060606061,0.4330127018922193,2.75
3,19,57,1,1.4210526315789473,0.017241379310344827,0.6862318321265946,3.0526315789473686
4,19,50,2,1.3157894736842106,0.0606060606060606,0.44659375653887207,2.8947368421052633
5,19,53,1,1.368421052631579,0.03273809523809524,0.39385867229199384,2.9473684210526314
6,19,61,1,1.736842105263158,0.03125,0.48237638894272,3.3684210526315788
7,18,51,2,1.3,0.05654761904761905,0.6,2.8
8,19,53,0,1.3157894736842106,0.01515151515151515,0.44659375653887207,2.8947368421052633
9,18,60,1,1.65,0.03645833333333333,0.39999999999999997,3.2
10,18,59,0,1.65,0.033854166666666664,0.39999999999999997,3.2
11,18,49,1,1.45,0.07183908045977011,0.3,2.9
12,18,59,2,1.6,0.049479166666666664,0.39999999999999997,3.2
13,18,59,4,1.65,0.06770833333333333,0.39999999999999997,3.2
14,19,52,1,1.3157894736842106,0.03333333333333333,0.44659375653887207,2.8947368421052633
15,19,58,0,1.736842105263158,0.0390625,0.4823763889427201,3.3684210526315788
16,18,51,0,1.3,0.027272727272727268,0.4330127018922193,2.75
17,18,51,4,1.25,0.07738095238095237,0.6782329983125268,2.8
18,19,54,3,1.4210526315789473,0.057471264367816084,0.6862318321265946,3.0526315789473686
19,19,62,0,1.7894736842105263,0.013020833333333332,0.4823763889427201,3.3684210526315788
20,18,54,2,1.4,0.043859649122807015,0.3570714214271425,2.85
21,18,47,2,1.3,0.09226190476190475,0.6,2.8
22,18,59,1,1.65,0.0390625,0.39999999999999997,3.2
23,18,60,1,1.7,0.033854166666666664,0.39999999999999997,3.2
24,19,55,0,1.4210526315789473,0.022988505747126436,0.6862318321265946,3.0526315789473686
25,19,59,2,1.7894736842105263,0.046875,0.48237638894272,3.3684210526315788
26,19,48,3,1.3157894736842106,0.08787878787878788,0.4465937565388721,2.8947368421052633
27,18,51,1,1.4,0.05263157894736842,0.47696960070847283,2.85
28,18,49,3,1.25,0.08035714285714286,0.6782329983125268,2.8
29,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
30,19,50,1,1.4210526315789473,0.0660919540229885,0.6862318321265946,3.0526315789473686
31,18,52,2,1.25,0.047619047619047616,0.6782329983125268,2.8
32,19,53,3,1.4210526315789473,0.06896551724137931,0.6862318321265946,3.0526315789473686
33,17,54,1,1.2857142857142858,0.03508771929824561,0.6998542122237651,2.7142857142857144
34,20,60,2,1.8333333333333333,0.041666666666666664,0.49690399499995325,3.5555555555555554
35,17,53,0,1.2857142857142858,0.037356321839080456,0.7499055118106486,2.761904761904762
36,18,46,3,1.3,0.10714285714285714,0.6,2.8
37,19,52,2,1.4210526315789473,0.0632183908045977,0.6862318321265946,3.0526315789473686
38,19,51,3,1.4210526315789473,0.08333333333333333,0.6862318321265946,3.0526315789473686
39,18,51,2,1.35,0.05952380952380953,0.39999999999999997,2.8
40,19,53,3,1.4210526315789473,0.06609195402298851,0.6862318321265946,3.0526315789473686
41,18,53,1,1.3,0.04597701149425287,0.8888194417315588,2.9
42,18,52,0,1.3,0.024242424242424242,0.4330127018922193,2.75
43,18,50,5,1.4,0.10632183908045977,0.5385164807134505,2.9
44,18,54,2,1.25,0.03571428571428571,0.6782329983125268,2.8
45,19,53,1,1.3157894736842106,0.024242424242424242,0.44659375653887207,2.8947368421052633
46,19,48,3,1.368421052631579,0.09226190476190475,0.39385867229199384,2.9473684210526314
47,18,55,1,1.4,0.03160919540229885,0.5385164807134505,2.9
48,17,52,4,1.2857142857142858,0.07894736842105263,0.6998542122237652,2.7142857142857144
49,19,52,3,1.4210526315789473,0.07183908045977011,0.6862318321265946,3.0526315789473686
50,19,55,2,1.4736842105263157,0.040229885057471264,0.6046908048987397,3.0526315789473686
51,19,57,1,1.4210526315789473,0.017241379310344827,0.6862318321265946,3.0526315789473686
52,19,49,2,1.4210526315789473,0.08187134502923976,0.5619514869490163,3.0
53,19,53,2,1.4210526315789473,0.05747126436781609,0.6862318321265946,3.0526315789473686
54,19,61,1,1.736842105263158,0.028645833333333332,0.4823763889427201,3.3684210526315788
55,18,52,2,1.25,0.05357142857142857,0.6782329983125268,2.8
56,19,50,1,1.3157894736842106,0.05151515151515151,0.44659375653887207,2.8947368421052633
57,18,48,6,1.25,0.12202380952380952,0.6782329983125268,2.8
58,17,60,2,1.619047619047619,0.041666666666666664,0.21295885499997996,3.0476190476190474
59,18,54,0,1.25,0.01488095238095238,0.6782329983125268,2.8
60,18,53,3,1.4,0.06896551724137931,0.5385164807134505,2.9
61,18,54,1,1.3,0.023809523809523808,0.6,2.8
62,19,60,1,1.736842105263158,0.033854166666666664,0.4823763889427201,3.3684210526315788
63,19,59,1,1.736842105263158,0.041666666666666664,0.4823763889427201,3.3684210526315788
64,18,52,1,1.35,0.038690476190476185,0.39999999999999997,2.8
65,18,50,2,1.35,0.07309941520467836,0.5722761571129799,2.85
66,18,59,0,1.65,0.03125,0.39999999999999997,3.2
67,19,53,0,1.3157894736842106,0.01818181818181818,0.44659375653887207,2.8947368421052633
68,19,54,0,1.4210526315789473,0.02586206896551724,0.6862318321265946,3.0526315789473686
69,19,53,1,1.4210526315789473,0.04597701149425287,0.6862318321265946,3.0526315789473686
70,19,53,5,1.4210526315789473,0.08620689655172414,0.6862318321265946,3.0526315789473686
71,18,56,1,1.65,0.06510416666666666,0.39999999999999997,3.2
72,18,46,2,1.35,0.09226190476190475,0.39999999999999997,2.8
73,18,51,1,1.25,0.044642857142857144,0.6782329983125268,2.8
74,19,47,2,1.3157894736842106,0.07878787878787878,0.44659375653887207,2.8947368421052633
75,18,60,0,1.65,0.0234375,0.39999999999999997,3.2
76,18,52,1,1.35,0.04093567251461988,0.5722761571129799,2.85
77,18,50,3,1.35,0.07738095238095237,0.39999999999999997,2.8
78,19,48,3,1.368421052631579,0.08928571428571427,0.39385867229199384,2.9473684210526314
79,19,53,0,1.4210526315789473,0.037356321839080456,0.6862318321265946,3.0526315789473686
80,19,56,2,1.736842105263158,0.07291666666666666,0.4823763889427201,3.3684210526315788
81,19,52,2,1.3157894736842106,0.045454545454545456,0.4465937565388721,2.8947368421052633
82,18,59,1,1.6,0.04427083333333333,0.39999999999999997,3.2
83,18,54,0,1.25,0.01488095238095238,0.6782329983125268,2.8
84,18,48,2,1.35,0.08771929824561403,0.5722761571129799,2.85
85,18,48,2,1.25,0.08630952380952381,0.6782329983125268,2.8
86,18,51,3,1.4,0.08045977011494251,0.5385164807134505,2.9
87,18,48,2,1.4,0.08908045977011493,0.5385164807134505,2.9
88,18,52,1,1.25,0.044642857142857144,0.6782329983125268,2.8
89,18,55,1,1.25,0.017857142857142856,0.6782329983125268,2.8
90,19,48,1,1.3157894736842106,0.06666666666666667,0.44659375653887207,2.8947368421052633
91,18,50,1,1.35,0.0625,0.39999999999999997,2.8
