Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7
1,4.83,1.67,88.33,52.63,23.68,1.311251954609072,1.32
2,2.56,1.67,95.0,73.68,18.42,1.5013001649316253,1.26
3,6.39,5.0,90.0,47.37,26.32,1.4321384039831018,1.32
4,0.56,0.0,98.33,60.53,18.42,1.162186034493666,1.34
5,9.31,6.67,86.67,42.11,23.68,0.8275862068965516,1.29
6,2.0,0.0,95.0,47.37,23.68,1.5521072324037097,1.24
7,2.08,0.0,95.0,63.16,15.79,0.8926785535678563,1.39
8,2.08,1.67,96.67,42.11,21.05,1.0327955589886444,1.26
9,2.97,1.67,93.33,52.63,21.05,0.816496580927726,1.32
10,11.86,8.33,81.67,44.74,26.32,1.1866605518454394,1.42
11,2.14,0.0,93.33,55.26,18.42,1.162186034493666,1.39
12,3.81,0.0,90.0,36.84,23.68,1.2014656131161618,1.32
13,2.0,1.67,96.67,44.74,15.79,0.9270248108869579,1.37
14,5.0,1.67,90.0,34.21,18.42,0.9481895778515527,1.29
15,6.44,3.33,86.67,47.37,18.42,0.8775142263700284,1.47
16,4.42,0.0,86.67,52.63,26.32,1.3813628289866942,1.45
17,11.25,6.67,80.0,44.74,23.68,0.7848142535683477,1.45
18,5.42,1.67,88.33,52.63,28.95,1.227262335243029,1.32
19,2.78,0.0,91.67,52.63,18.42,1.0452807578077195,1.29
20,8.33,5.0,85.0,63.16,21.05,1.0645812948447542,1.32
21,3.75,1.67,93.33,57.89,26.32,1.124858267715973,1.21
22,3.75,1.67,93.33,36.84,26.32,1.2163847404233143,1.29
23,1.94,0.0,93.33,44.74,18.42,1.1052801096136653,1.47
24,5.42,1.67,86.67,71.05,18.42,1.075698838744069,1.34
25,4.17,3.33,95.0,42.11,28.95,0.8314794192830979,1.32
26,4.31,3.33,93.33,47.37,21.05,1.505545305418162,1.32
27,7.28,5.0,86.67,47.37,18.42,1.1340900536288352,1.32
