ID;Nombre;Carrera 1;Carrera 2;Carrera 3;Carrera 4;Carrera 5;Carrera 6;Carrera 7;Carrera 8
Desafío 1;SimCity: Creando una simulación 3D de la ciudad para el estudio de fenómenos naturales.;Arquitectura; Ingeniería Civil Ambiental; Ingeniería Civil Electrónica; Ingeniería Civil Informática; Ingeniería Civil Matemática; Ingeniería Civil Telemática; Ingeniería en Diseño de Productos;
Desafío 2;Mejorar la experiencia de entrega a cliente a Nivel Nacional;Ingeniería Civil; Ingeniería Civil Industrial; Ingeniería Civil Informática; Ingeniería Civil Telemática; Ingeniería Comercial; Ingeniería en Diseño de Productos; Otras;
Desafío 3;Electric Vehicle as a Service (EVaaS);Ingeniería Civil Eléctrica; Ingeniería Civil Telemática;;;;;;
Desafío 4;Mobile Water Quality Monitoring for Offshore Fish Farms;Ingeniería Civil Electrónica; Ingeniería Civil Telemática; Ingeniería en Diseño de Productos;;;;;
Desafío 5;Creación Modelo Revenue Management Menaje Easy;Ingeniería Civil; Ingeniería Civil Industrial; Ingeniería Civil Informática; Ingeniería Civil Matemática; Ingeniería Civil Telemática; Ingeniería Comercial; Ingeniería en Diseño de Productos; Otras
Desafío 6;Monitoreo de rendimiento para jugadores de rugby con tecnología LoRaWan para recopilación de datos y simulación de juego.;Ingeniería Civil Eléctrica; Ingeniería Civil Electrónica; Ingeniería Civil Telemática; Ingeniería en Diseño de Productos;;;;
Desafío 7;Caracterización del canal inalámbrico empleando tecnología IoT;Ingeniería Civil Electrónica; Ingeniería Civil Telemática;;;;;;
Desafío 8;Sistema de posicionamiento de robot submarino en jaula de cultivo mediante telemetría y estéreo visión.;Ingeniería Civil Electrónica; Ingeniería Civil Telemática; Ingeniería en Diseño de Productos;;;;;
Desafío 9;Escalamiento de métodos de visión artificial para caracterización de biomasa, salud y proceso de alimentación de salmones.;Ingeniería Civil Electrónica; Ingeniería Civil Telemática;;;;;;
Desafío 10;Georeferenciación y Normalización de Direcciones;Ingeniería Civil; Ingeniería Civil Ambiental; Ingeniería Civil Industrial; Ingeniería Civil Informática; Ingeniería Civil Matemática; Otras;;
